,MAE,RMSE,MAPE
TBATS,235.36766158998836,271.405888197068,24.49188368426254
XGBoost,144.62927017211913,192.48900666734994,15.711701201501697
XGBoost with time-lagged features,141.8521827697754,190.42098087428477,15.990484020526466
