station_name,location
W 4 St & 7 Ave S,"(40.73401143, -74.00293877)"
Rivington St & Chrystie St,"(40.72110063, -73.9919254)"
King St & Varick St,"(40.72789701409023, -74.00536268949507)"
St Marks Pl & 2 Ave,"(40.7284186, -73.98713956)"
W 50 St & 10 Ave,"(40.764734200065185, -73.99194359779358)"
W 116 St & Broadway,"(40.8082, -73.9641)"
W 40 St & 7 Ave,"(40.754818, -73.988154)"
W 15 St & 10 Ave,"(40.742753828659026, -74.00747358798981)"
University Pl & E 8 St,"(40.73143724085228, -73.99490341544151)"
Plaza Dr & W 170 St,"(40.840484, -73.917946)"
E 118 St & 1 Ave,"(40.79747, -73.93504)"
Rogers Ave & Sterling St,"(40.6630619, -73.9538746)"
E 20 St & Park Ave,"(40.73827428, -73.98751968)"
Madison Ave & E 82 St,"(40.7781314, -73.96069399)"
Broad St & Bridge St,"(40.70365182, -74.01167797)"
Murray St\t& West St,"(40.71503, -74.01246)"
Van Sinderen Ave & Truxton St,"(40.6786, -73.90369)"
W 37 St & 10 Ave,"(40.75660359, -73.9979009)"
E 17 St & Broadway,"(40.73704984, -73.99009296)"
Faile St & Garrison Ave,"(40.820578, -73.888271)"
W 17 St & 8 Ave,"(40.74177603, -74.00149746)"
Riverside Dr & W 153 St,"(40.832164, -73.949702)"
St. Nicholas Terrace & Convent Ave,"(40.821294, -73.947868)"
W 42 St & Dyer Ave,"(40.75898481399634, -73.99379968643188)"
Adam Clayton Powell Blvd & W 132 St,"(40.813539, -73.94521)"
W 50 St & 9 Ave,"(40.763604677958625, -73.98917958140373)"
McKibbin St & Manhattan Ave,"(40.70510918, -73.94407279)"
Edgecombe Ave & W 141 St,"(40.820681, -73.945144)"
Shop Morgan,"(40.70987333941734, -73.9315938949585)"
Broadway & W 160 St,"(40.835775, -73.9434)"
Vernon Blvd & 47 Rd,"(40.7449067, -73.9534573)"
South St & Pike St,"(40.70991806921533, -73.99161100387573)"
W 10 St & Washington St,"(40.73342399437081, -74.00851495563984)"
St James Pl & Oliver St,"(40.71307916, -73.99851193)"
Laight St & Hudson St,"(40.72185379, -74.00771779)"
N Moore St & Hudson St,"(40.71996118117138, -74.00844320654869)"
W 104 St & Amsterdam Ave,"(40.799041392882984, -73.96649479866028)"
Hudson St & W 13 St,"(40.74005708567285, -74.0052741765976)"
E 51 St & 2 Ave,"(40.755293, -73.967641)"
Columbus Ave & W 95 St,"(40.7919557, -73.968087)"
Franklin St & W Broadway,"(40.71911552, -74.00666661)"
Central Park North & Adam Clayton Powell Blvd,"(40.799484, -73.955613)"
W 116 St & Amsterdam Ave,"(40.8067581, -73.9607082)"
5 Ave & E 63 St,"(40.766368, -73.971518)"
York St,"(40.71649, -74.04105)"
W 59 St & 10 Ave,"(40.770513, -73.988038)"
Riverside Dr & W 72 St,"(40.78057799010334, -73.98562431335449)"
W 180 St & Ft Washington Ave,"(40.849972, -73.938423)"
Park Ave & St Edwards St,"(40.69608941, -73.97803415)"
W 52 St & 6 Ave,"(40.76132983124814, -73.97982001304626)"
Albany St & Greenwich St,"(40.709267, -74.013247)"
Franklin St & Dupont St,"(40.73564, -73.95866)"
6 Ave & W 45 St,"(40.756951, -73.982631)"
W 33 St & 10 Ave,"(40.753773368360385, -73.99937599897385)"
Court St & State St,"(40.6902375, -73.99203074)"
W 35 St & 8 Ave,"(40.752762088742045, -73.99280458705107)"
Pleasant Ave & E 116 St,"(40.7949879, -73.9333349)"
Mercer St & Bleecker St,"(40.72706363348306, -73.99662137031554)"
W 100 St & Manhattan Ave,"(40.795, -73.9645)"
W 20 St & 10 Ave,"(40.745686, -74.005141)"
W 56 St & 6 Ave,"(40.76340613, -73.97722479)"
Duane St & Hudson St,"(40.71703, -74.00925)"
W 40 St & 5 Ave,"(40.752269, -73.982079)"
West End Ave & W 107 St,"(40.8021174, -73.9681805305)"
Broadway & W 48 St,"(40.76017739537783, -73.98486793041229)"
W 84 St & Broadway,"(40.7867947, -73.977112)"
Morton St & Washington St,"(40.73115, -74.00887)"
Broadway & W 51 St,"(40.76228826, -73.98336183)"
Grove St - PATH,"(40.71941, -74.04309)"
Whitehall St & Bridge St,"(40.703661705241345, -74.0131813287735)"
W 36 St & 7 Ave,"(40.752149, -73.989539)"
Gansevoort St & Hudson St,"(40.73944820130403, -74.00507032871246)"
E 1 St & Bowery,"(40.72486122254819, -73.99213135242462)"
St Nicholas Ave & W 150 St,"(40.827212, -73.942722)"
5 Ave & W 126 St,"(40.80722, -73.9418)"
Kenmare St & Elizabeth St,"(40.72054, -73.9949)"
Peck Slip & South St,"(40.7075188830923, -74.00108054280281)"
W 22 St & 8 Ave,"(40.74475148, -73.99915362)"
Steinway St & Broadway,"(40.75905795418586, -73.91897544264793)"
Orchard St & Grand St,"(40.717318403855785, -73.99067759513855)"
Lafayette St & Grand St,"(40.72028, -73.99879)"
Forsyth St & Grand St,"(40.71779817737835, -73.99316132068634)"
Riverside Dr & W 91 St,"(40.79313480986663, -73.97700369358063)"
Pike St & Monroe St,"(40.71173107, -73.99193043)"
Wadsworth Ave & W 175 St,"(40.846052, -73.937648)"
Broadway & W 25 St,"(40.74286877312112, -73.98918628692627)"
Riverside Blvd & W 67 St,"(40.777507027547976, -73.98888587951659)"
Riverside Dr & W 138 St,"(40.823168, -73.955857)"
Broadway & E 14 St,"(40.73454567, -73.99074142)"
W 120 St & Claremont Ave,"(40.8109494, -73.9634)"
W 12 St & Hudson St,"(40.73752993301071, -74.00558933615685)"
12 Ave & W 125 St,"(40.818299, -73.960405)"
Grand St & Greene St,"(40.72170005235607, -74.00238141417502)"
Lawrence St & Willoughby St,"(40.69236178, -73.98631746)"
W 11 St & 6 Ave,"(40.73532427, -73.99800419)"
Hicks St & Montague St,"(40.69512845, -73.99595065)"
E 44 St & Lexington Ave,"(40.752643, -73.974996)"
Broadway & W 142 St,"(40.824686, -73.951947)"
Riverside Dr & W 78 St,"(40.78414472, -73.98362492)"
1 Ave & E 16 St,"(40.73221853, -73.98165557)"
W 106 St & Amsterdam Ave,"(40.8008363, -73.9664492472)"
W 25 St & 9 Ave,"(40.747832605837715, -74.0005722643582)"
Ave C & E 16 St,"(40.72984830346529, -73.97455215454102)"
Sherman Ave & Thayer St,"(40.863124, -73.926994)"
E 65 St & 2 Ave,"(40.76471851944339, -73.96222069859505)"
E 10 St & Avenue A,"(40.72740794, -73.98142006)"
27 Ave & 3 St,"(40.77485, -73.9342)"
Barclay St & Church St,"(40.71291224, -74.01020234)"
5 Ave & E 93 St,"(40.7857851, -73.957481)"
E 53 St & Lexington Ave,"(40.75828065, -73.97069431)"
Morgan Loading Docks,"(40.709306335794274, -73.93117547035216)"
W 46 St & 11 Ave,"(40.76341379, -73.99667444)"
Grand Concourse & E 164 St,"(40.829608, -73.921461)"
Columbus Ave & W 72 St,"(40.7770575, -73.97898475)"
E 20 St & 2 Ave,"(40.73587678, -73.98205027)"
W 43 St & 10 Ave,"(40.76009437, -73.99461843)"
South End Ave & Albany St,"(40.709957, -74.016538)"
Clinton St & Cherry St,"(40.711471394469264, -73.98672603070736)"
Nagle Ave & Thayer St,"(40.861382, -73.925591)"
Hudson Blvd W & W 36 St,"(40.75676475086503, -73.99971440439913)"
Montague St & Clinton St,"(40.6942715, -73.9923272)"
N 12 St & Bedford Ave,"(40.72079821, -73.95484712)"
E 39 St & 2 Ave,"(40.748033194287665, -73.973827958107)"
E 32 St & Park Ave,"(40.7457121, -73.98194829)"
Grand Concourse & E 192 St,"(40.86448, -73.89522)"
Stanton St & Norfolk St,"(40.720747, -73.986274)"
W 35 St & 9 Ave,"(40.75414519263519, -73.9960889518261)"
E 14 St & 1 Ave,"(40.73139303364151, -73.98286700248718)"
W 52 St & 5 Ave,"(40.75992262, -73.97648516)"
31 St & Ditmars Blvd,"(40.776168, -73.910485)"
W 47 St & 10 Ave,"(40.76269882, -73.99301222)"
FDR Drive & E 35 St,"(40.744219, -73.97121214)"
E 56 St & Madison Ave,"(40.761573, -73.972628)"
E 11 St & Avenue B,"(40.72746420692392, -73.97950418293476)"
E 161 St & River Ave,"(40.827883, -73.927111)"
E 56 St & 3 Ave,"(40.75934501, -73.96759673)"
Howard St & Lafayette St,"(40.71910537, -73.99973337)"
Stanton St & Mangin St,"(40.71782143, -73.97628939)"
MacDougal St & Prince St,"(40.72710258, -74.00297088)"
Pike St & E Broadway,"(40.71406667, -73.99293911)"
Central Ave & Himrod St,"(40.69676, -73.92302)"
37 St & 24 Ave,"(40.7701477, -73.9120938)"
W 107 St & Columbus Ave,"(40.7997568, -73.9621128676)"
E 10 St & 2 Ave,"(40.72970805644994, -73.9865979552269)"
Frederick Douglass Blvd & W 112 St,"(40.801694, -73.957145)"
1 Ave & E 6 St,"(40.72633085971696, -73.98616880178452)"
West Broadway & Watts St,"(40.72323, -74.00314)"
Knickerbocker Ave & Thames St,"(40.70539, -73.92976)"
Amsterdam Ave & W 180 St,"(40.847396, -73.931205)"
Eastern Pkwy & Nostrand Ave,"(40.66967, -73.9503)"
Kent Ave & N 7 St,"(40.72036775298455, -73.96165072917938)"
W 87 St & West End Ave,"(40.789622, -73.97757)"
Eastern Pkwy & Schenectady Ave,"(40.66876, -73.93376)"
Johnson St & Brooklyn Bridge Blvd,"(40.695, -73.98917)"
Fulton St & Irving Pl,"(40.68186, -73.959432)"
E 23 St & 1 Ave,"(40.736502, -73.97809472)"
E 77 St & 1 Ave,"(40.77095553869235, -73.95356208096926)"
St Marks Ave & Rochester Ave,"(40.67404, -73.92772)"
E 84 St & Park Ave,"(40.77862688, -73.95772073)"
Thompson St & Bleecker St,"(40.72840059450829, -73.99968780577183)"
Carroll St & Franklin Ave,"(40.6679411, -73.9588)"
E 54 St & 1 Ave,"(40.756265, -73.964179)"
7 Ave S & Bleecker St,"(40.73213896287381, -74.00363802909851)"
Spruce St & Gold St,"(40.7103231, -74.0043228)"
Grand Ave & Bergen St,"(40.678045, -73.962408)"
W 53 St & 10 Ave,"(40.76669671, -73.99061728)"
Grand St & Elizabeth St,"(40.718822, -73.99596)"
Pacific St & Nevins St,"(40.6853761, -73.98302136)"
Congress St & Clinton St,"(40.68825516598005, -73.99545192718506)"
6 Ave & 12 St,"(40.6663181, -73.9854617)"
Avenue D & E 12 St,"(40.72580614, -73.97422494)"
Bedford Ave & Montgomery St,"(40.665816, -73.956934)"
W 18 St & 9 Ave,"(40.7435337324616, -74.00367558002472)"
Lexington Ave & E 120 St,"(40.8013066, -73.9398167)"
W 95 St & Broadway,"(40.7937704, -73.971888)"
Carroll St & Bond St,"(40.6786115, -73.99037292)"
Boston Rd & Prospect Ave,"(40.833246, -73.896599)"
Congress St & Hicks St,"(40.6893952, -73.9995126)"
Schermerhorn St & Court St,"(40.6910363748993, -73.99201065301895)"
Bushwick Ave & Stagg St,"(40.709897, -73.94008)"
Lorimer St & Broadway,"(40.70411791, -73.94818595)"
Ave A & E 14 St,"(40.73031071000895, -73.98047178983688)"
White St & Johnson Ave,"(40.707174, -73.93581)"
Broadway & W 37 St,"(40.75172632, -73.98753523)"
Pearl St & York St,"(40.70140463410644, -73.98768022656441)"
W Broadway & Watts St,"(40.72323, -74.00314)"
Columbia St & Kane St,"(40.68763155, -74.0016256)"
E 81 St & 1 Ave,"(40.77377781072322, -73.95197331905365)"
Cathedral Pkwy & Broadway,"(40.804213, -73.96699104)"
Jefferson Ave & Evergreen Ave,"(40.68989, -73.91458)"
Allen St & Rivington St,"(40.72019576, -73.98997825)"
Madison Ave & E 51 St,"(40.75863, -73.97513)"
E 53 St & 3 Ave,"(40.75763227739443, -73.96930575370789)"
Water St & Fletcher St,"(40.706410755236135, -74.00559738278389)"
4 Ave & 3 St,"(40.673746, -73.985649)"
E 40 St & 5 Ave,"(40.752062307, -73.9816324043)"
E 13 St & Ave A,"(40.72966729392978, -73.98067966103554)"
E 26 St & 3 Ave,"(40.74069317733043, -73.98160636425018)"
Beverley Rd & E 49 St,"(40.64621, -73.93067)"
5 Ave & E 30 St,"(40.7459849, -73.98629487)"
1 Ave & E 39 St,"(40.74714, -73.97113)"
Vernon Blvd & 31 Ave,"(40.7692475, -73.9354504)"
E 35 St & Madison Ave,"(40.74848023448579, -73.98255586624146)"
Butler St & Court St,"(40.6849894, -73.99440329)"
Broadway & Whipple St,"(40.7016657, -73.9437303)"
N 9 St & Wythe Ave,"(40.72054, -73.959)"
Harrison St & Hudson St,"(40.71870987, -74.0090009)"
New York Ave & Lenox Rd,"(40.65458, -73.94716)"
Macombs Pl & W 152 St,"(40.826406, -73.937948)"
Waterbury St & Stagg St,"(40.71019, -73.93734)"
Suydam St & Knickerbocker Ave,"(40.702013, -73.923769)"
E 44 St & 2 Ave,"(40.75118387463277, -73.97138714790344)"
Central Park West & W 85 St,"(40.78476, -73.969862)"
W 100 St & Broadway,"(40.7973721, -73.97041192)"
Amsterdam Ave & W 66 St,"(40.7746671, -73.98470567)"
Jay St & Tech Pl,"(40.695065, -73.987167)"
Adam Clayton Powell Blvd & W 130 St,"(40.812346, -73.946168)"
8 Ave & W 27 St,"(40.747968, -73.996637)"
Church St & Worth St,"(40.71688538495366, -74.00650128722191)"
W 218 St & Broadway,"(40.87139, -73.914318)"
E 6 St & Ave B,"(40.72453734, -73.98185424)"
Front St & Gold St,"(40.70224, -73.982578)"
Garrison Ave & Manida St,"(40.818743, -73.890247)"
1 Pl & Clinton St,"(40.6809591, -73.99905709)"
9 Ave & W 33 St,"(40.752568, -73.996765)"
Willis Ave & E 141 St,"(40.81093, -73.921606)"
Driggs Ave & S 2 St,"(40.712628, -73.960575)"
Broadway & W 131 St,"(40.817555, -73.957163)"
E 7 St & Ave A,"(40.72621788, -73.98379855)"
E 85 St & York Ave,"(40.77536905, -73.94803392)"
McKibbin St & Bogart St,"(40.706237, -73.933871)"
Bushwick Ave & McKibbin St,"(40.705517, -73.93936)"
Van Brunt St & Van Dyke St,"(40.6758329439129, -74.01472628116608)"
W 54 St & 9 Ave,"(40.76584941, -73.98690506)"
