station_name,location
Hanson Pl & Ashland Pl,"(40.735353589, -74.046973348)"
E 2 St & 2 Ave,"(40.735353589, -74.046973348)"
George St & Wilson Ave,"(40.735353589, -74.046973348)"
Stockholm St & Wilson Ave,"(40.735353589, -74.046973348)"
Central Ave & Covert St,"(40.735353589, -74.046973348)"
Wilson Ave & Moffat St,"(40.735353589, -74.046973348)"
Bushwick Ave & Furman Ave,"(40.735353589, -74.046973348)"
Halsey St & Broadway,"(40.735353589, -74.046973348)"
Halsey St & Evergreen Ave,"(40.735353589, -74.046973348)"
Greene Av & Myrtle Av,"(40.735353589, -74.046973348)"
Myrtle Ave & Grove St,"(40.735353589, -74.046973348)"
Union Ave & N 12 St,"(40.735353589, -74.046973348)"
Greenpoint Ave & West St,"(40.735353589, -74.046973348)"
Kingsland Ave & Nassau Ave,"(40.735353589, -74.046973348)"
Wythe Ave & Metropolitan Ave,"(40.735353589, -74.046973348)"
S 2 St & Kent Ave,"(40.735353589, -74.046973348)"
Washington Pl & Broadway,"(40.735353589, -74.046973348)"
Leonard St & Church St,"(40.735353589, -74.046973348)"
Canal St & Rutgers St,"(40.735353589, -74.046973348)"
Main St & Plymouth St,"(40.735353589, -74.046973348)"
Delancey St & Eldridge St,"(40.735353589, -74.046973348)"
White St & Moore St,"(40.735353589, -74.046973348)"
Emerson Pl & Myrtle Ave,"(40.735353589, -74.046973348)"
Halsey St & Tompkins Ave,"(40.735353589, -74.046973348)"
Grand St & Havemeyer St,"(40.735353589, -74.046973348)"
Henry St & Degraw St,"(40.735353589, -74.046973348)"
Henry St & Atlantic Ave,"(40.735353589, -74.046973348)"
Willoughby Ave & Tompkins Ave,"(40.735353589, -74.046973348)"
Monroe St & Bedford Ave,"(40.735353589, -74.046973348)"
E 27 St & 1 Ave,"(40.735353589, -74.046973348)"
1 Ave & E 68 St,"(40.735353589, -74.046973348)"
E 51 St & Lexington Ave,"(40.735353589, -74.046973348)"
W 54 St & 6 Ave,"(40.735353589, -74.046973348)"
W 24 St & 7 Ave,"(40.735353589, -74.046973348)"
Madison Ave & E 26 St,"(40.735353589, -74.046973348)"
E 20 St & FDR Dr,"(40.735353589, -74.046973348)"
E 7 St & Avenue A,"(40.735353589, -74.046973348)"
W 13 St & 7 Ave,"(40.735353589, -74.046973348)"
University Pl & E 14 St,"(40.735353589, -74.046973348)"
Washington Pl & 6 Ave,"(40.735353589, -74.046973348)"
Water St &  Fletcher St,"(40.735353589, -74.046973348)"
6 Ave & Walker St,"(40.735353589, -74.046973348)"
John St & William St,"(40.735353589, -74.046973348)"
Greenwich St & W Houston St,"(40.735353589, -74.046973348)"
W 22 St & 10 Ave,"(40.735353589, -74.046973348)"
9 Ave & W 45 St,"(40.735353589, -74.046973348)"
W 51 St & 6 Ave,"(40.735353589, -74.046973348)"
9 Ave & W 39 St,"(40.735353589, -74.046973348)"
W 45 St & 8 Ave,"(40.735353589, -74.046973348)"
W 44 St & 11 Ave,"(40.735353589, -74.046973348)"
8 Ave & W 49 St,"(40.735353589, -74.046973348)"
E 6 St & Avenue B,"(40.735353589, -74.046973348)"
Cleveland Pl & Spring St,"(40.735353589, -74.046973348)"
W 15 St & 6 Ave,"(40.735353589, -74.046973348)"
8 Ave & W 16 St,"(40.735353589, -74.046973348)"
48 Ave & 5 St,"(40.735353589, -74.046973348)"
31 St & Northern Blvd,"(40.735353589, -74.046973348)"
N 7 St & Driggs Ave,"(40.735353589, -74.046973348)"
Pearl St & Hanover Square,"(40.735353589, -74.046973348)"
Clinton St & Grand St,"(40.735353589, -74.046973348)"
Driggs Ave & N 9 St,"(40.735353589, -74.046973348)"
E 12 St & 3 Ave,"(40.735353589, -74.046973348)"
W 21 St & 6 Ave,"(40.735353589, -74.046973348)"
10 Ave & W 28 St,"(40.735353589, -74.046973348)"
W 34 St & Hudson Blvd E,"(40.735353589, -74.046973348)"
Grand Army Plaza & Central Park S,"(40.735353589, -74.046973348)"
W 170 St & University Ave,"(40.8639433, -73.9411734)"
11 Ave & W 59 St,"(40.77218081666667, -74.00700725)"
Bleecker St & Crosby St,"(40.76520691666666, -74.02862141666667)"
Broadway & W 56 St,"(40.73623848, -74.030078173)"
Broadway & W 38 St,"(40.763495633333335, -74.01484118333333)"
Broadway & W 53 St,"(40.75007196666667, -74.01744501666667)"
Henry St & Grand St,"(40.75035571666667, -74.06811701666666)"
Norfolk St & Broome St,"(40.750450566666665, -74.06776671666667)"
W 49 St & 8 Ave,"(40.78096506666667, -74.01874861666667)"
W Broadway & Spring St,"(40.73771905, -74.06712138333333)"
E 2 St & Avenue A,"(40.73771905, -74.06712138333333)"
Avenue D & E 10 St,"(40.73771905, -74.06712138333333)"
E 25 St & 2 Ave,"(40.73771905, -74.06712138333333)"
Sullivan St & Washington Sq,"(40.73771905, -74.06712138333333)"
Vesey St & Church St,"(40.73771905, -74.06712138333333)"
5 Ave & E 72 St,"(40.73771905, -74.06712138333333)"
1 Ave & E 62 St,"(40.73771905, -74.06712138333333)"
Queens Plaza North & Crescent St,"(40.73771905, -74.06712138333333)"
35 St & 34 Ave,"(40.73771905, -74.06712138333333)"
8 Ave & W 52 St,"(40.8028376, -73.99727856666667)"
Division Ave & Hooper St,"(40.719274633333335, -74.04311011666667)"
Putnam Ave & Knickerbocker Ave,"(40.719274633333335, -74.04311011666667)"
E 4 St & 2 Ave,"(40.719274633333335, -74.04311011666667)"
Perry St & Greenwich Ave,"(40.719274633333335, -74.04311011666667)"
